trip_id,stop_id,lat,lon,timestamp
6368842-09_A_50_0903_10:03-PROJET2025-09-Semaine-35,5138,43.66061019897461,7.178487777709961,1757407461
6429313-15_A_50_1504_10:40-SETP2025-15-Semaine-11,312,43.700931549072266,7.275889873504639,1757407461
5925309-54_R_98_5403_10:39-PROJET2025-54-Semaine-17,3068,43.73831558227539,7.1491169929504395,1757407461
6419991-35_A_50_3504_10:53-SETP2025-35-Semaine-35,2686,43.70854187011719,7.2862725257873535,1757407459
6414238-07_A_49_0706_10:47-SETP2025-07-L-Ma-J-V-41,447,43.74074935913086,7.307989597320557,1757407459
6446455-05_A_99_0508_10:46-SETP2025-05-L-Ma-J-V-38,1434,43.70056915283203,7.269068717956543,1757407461
6257307-59_A_45_5905_08:02-PROJET2025-59-Semaine-26,6044,43.82999801635742,7.191429615020752,1757404647
6355780-18_R_99_1807_10:27-SETP2025-18-Semaine-39,1270,43.716407775878906,7.274661064147949,1757407459
4542671-44_A_50_4401_08:00-RESEAU2023-44-Semaine-89,4148,43.68584442138672,7.1494364738464355,1757398849
4542737-44_R_99_4401_10:43-RESEAU2023-44-Semaine-89,4242,43.6669921875,7.145749092102051,1757407461
6419988-35_R_99_3501_10:21-SETP2025-35-Semaine-35,1145,43.73400115966797,7.278200626373291,1757407459
5759384-NVN2_A_50_NVN201_10:20-PROJET2024-NVence2-Semaine-12,3071,43.72114944458008,7.123110771179199,1757407461
6409602-57_R_99_5708_10:25-SETP2025-57-Semaine-06,1017,43.7059326171875,7.256140232086182,1757407459
6077766-58_A_50_5802_10:11-PROJET2025-58-Semaine-06,4149,43.665042877197266,7.153092861175537,1757407459
6355821-18_A_50_1805_10:18-SETP2025-18-Semaine-39,1303,43.72097396850586,7.281774044036865,1757407459
6105155-76_R_98_7602_10:50-PROJET2025-76-Semaine-89,6082,43.789207458496094,7.233717918395996,1757407459
4669790-62_R_99_6206_10:20-RESEAU2023-62-Semaine-17,145,43.696285247802734,7.233899116516113,1757407461
6414212-07_A_49_0704_10:22-SETP2025-07-L-Ma-J-V-41,557,43.71458053588867,7.284252643585205,1757407459
6409574-57_A_50_5713_10:15-SETP2025-57-Semaine-06,52,43.706642150878906,7.2671990394592285,1757407459
6102487-63_A_48_6302_10:10-PROJET2025-63-Semaine-72-1101100,194,43.738609313964844,7.257278919219971,1757407461
5203681-68_A_50_6802_10:05-PROJET2024-68-Semaine-15,21736,43.76385498046875,7.205231666564941,1757407461
6365936-20_A_50_2007_10:24-SETP2025-20-Semaine-42,5150,43.67620086669922,7.188501834869385,1757407461
4350562-40_R_99_4001_10:10-RESEAU2023-40-Semaine-04,2821,43.723365783691406,7.28328275680542,1757405985
6416426-33_A_50_3301_10:31-SETP2025-33-L-Ma-J-V-36,148,43.7052116394043,7.280519962310791,1757407461
6252471-11_A_50_1104_10:36-SETP2025-11-Semaine-37,1240,43.721073150634766,7.262074947357178,1757407459
6415997-21_A_50_2103_10:53-SETP2025-21-Semaine-40,2963,43.66909408569336,7.210152626037598,1757407461
6414234-07_R_97_0711_10:22-SETP2025-07-L-Ma-J-V-41,466,43.73200988769531,7.28624153137207,1757407459
6368860-09_R_99_0904_09:55-PROJET2025-09-Semaine-35,3059,43.72041702270508,7.1114912033081055,1757407461
6327188-17_R_99_1704_10:48-SETP2025-17-L-Ma-J-V-35,2816,43.69108963012695,7.194533824920654,1757407459
6355781-18_R_99_1804_10:46-SETP2025-18-Semaine-39,1249,43.72525405883789,7.248966217041016,1757407459
6416366-51_A_49_5105_10:43-PROJET2025-51-Semaine-10,2832,43.67683029174805,7.228090286254883,1757407048
6416279-51_R_98_5103_10:21-PROJET2025-51-Semaine-10,747,43.681461334228516,7.2308783531188965,1757407461
6414264-07_R_97_0709_10:52-SETP2025-07-L-Ma-J-V-41,701,43.69893264770508,7.285006523132324,1757407459
6414231-07_R_97_0710_09:55-SETP2025-07-L-Ma-J-V-41,775,43.723270416259766,7.28853178024292,1757407459
6369680-30_A_50_3001_10:46-SETP2025-30-Semaine-32,2685,43.7086296081543,7.2861175537109375,1757407461
6446499-05_A_99_0505_10:27-SETP2025-05-L-Ma-J-V-38,1355,43.71758270263672,7.272301197052002,1757407461
6429271-15_R_99_1502_10:40-SETP2025-15-Semaine-11,8148,43.69013595581055,7.333191871643066,1757407461
6411437-70_A_50_7002_10:30-SETP2025-70-Semaine-35,1297,43.6998291015625,7.256195545196533,1757407461
6446463-05_A_98_0507_10:17-SETP2025-05-L-Ma-J-V-38,206,43.730281829833984,7.276132583618164,1757407461
6412121-37_A_50_3701_10:30-SETP2025-37-Semaine-37,1251,43.70965576171875,7.264143943786621,1757407461
4669785-62_A_46_6202_10:35-RESEAU2023-62-Semaine-17,671,43.699092864990234,7.227288246154785,1757407461
6428424-61_R_99_6104_10:40-PROJET2025-61-Semaine-24,139,43.69493865966797,7.237177848815918,1757407459
6446496-05_A_98_0509_10:37-SETP2025-05-L-Ma-J-V-38,321,43.704933166503906,7.272611618041992,1757407461
6429233-15_R_99_1507_10:28-SETP2025-15-Semaine-11,8127,43.70467758178711,7.326714992523193,1757407461
5203677-68_A_50_6801_10:26-PROJET2024-68-Semaine-15,21206,43.77224349975586,7.194693565368652,1757407454
6414237-07_A_49_0702_10:39-SETP2025-07-L-Ma-J-V-41,908,43.73710250854492,7.300146102905273,1757407459
6252423-11_R_98_1106_10:37-SETP2025-11-Semaine-37,450,43.696632385253906,7.254281044006348,1757407459
6416427-33_A_50_3303_10:49-SETP2025-33-L-Ma-J-V-36,243,43.7226448059082,7.272368431091309,1757407461
6368825-09_A_49_0901_10:30-PROJET2025-09-Semaine-35,4137,43.664974212646484,7.151089668273926,1757407461
