trip_id,stop_id,delay_sec
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5103,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5028,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5098,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5093,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5162,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5095,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5146,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5016,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5184,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5126,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5060,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5067,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5065,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5132,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,5179,
6077788-58_A_50_5801_12:15-PROJET2025-58-Semaine-06,4024,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1422,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1616,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,2980,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1062,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,688,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,932,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1055,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,2671,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1142,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,364,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1187,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,107,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,677,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,845,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,318,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1192,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1041,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1289,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,546,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,827,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,854,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,784,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,288,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,240,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,372,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,268,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,820,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,673,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1243,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1334,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,272,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,1173,
6102493-63_A_48_6301_12:10-PROJET2025-63-Semaine-72-1101100,742,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,2686,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1598,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1546,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,477,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,543,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,795,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,423,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,345,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1304,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,2694,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,642,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,443,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,274,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,944,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1095,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,201,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,68,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1210,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,206,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,298,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1144,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,629,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,553,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,738,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1614,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1275,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,116,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,559,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,1057,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,855,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,369,
6419989-35_A_50_3503_11:59-SETP2025-35-Semaine-35,846,
